advice_action_match,advice_deal_distance,advice_kind_match,advice_overridden_toward,advice_rank_taken,advised_kind,advised_offer_id,emitted_kind,emitted_offer_id,episode_id,focal_seat,instance_id,parse_ok,phase,round,seat,seed,turn_idx
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6745f7f8ae,0,scorable_negotiation-L0-32200851b2,True,turn,1,Avery,0,0
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6745f7f8ae,0,scorable_negotiation-L0-32200851b2,True,turn,2,Avery,0,9
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6745f7f8ae,0,scorable_negotiation-L0-32200851b2,True,turn,3,Avery,0,13
1.0,,1.0,,,accept,P10,accept,P10,scorable_negotiation-moves_chat-6745f7f8ae,0,scorable_negotiation-L0-32200851b2,True,turn,4,Avery,0,17
1.0,,1.0,,,accept,P11,accept,P11,scorable_negotiation-moves_chat-6745f7f8ae,0,scorable_negotiation-L0-32200851b2,True,final_vote,5,Avery,0,21
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-4dcfbc09b3,2,scorable_negotiation-L0-32200851b2,True,turn,1,Casey,1,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-4dcfbc09b3,2,scorable_negotiation-L0-32200851b2,True,turn,2,Casey,1,5
1.0,,1.0,,,accept,P10,accept,P10,scorable_negotiation-moves_chat-4dcfbc09b3,2,scorable_negotiation-L0-32200851b2,True,turn,3,Casey,1,14
0.0,,1.0,,,accept,P10,accept,P8,scorable_negotiation-moves_chat-4dcfbc09b3,2,scorable_negotiation-L0-32200851b2,True,turn,4,Casey,1,18
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-4607cfd5b8,4,scorable_negotiation-L0-32200851b2,True,turn,1,Ember,2,2
1.0,,1.0,,,accept,P6,accept,P6,scorable_negotiation-moves_chat-4607cfd5b8,4,scorable_negotiation-L0-32200851b2,True,turn,2,Ember,2,6
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-4607cfd5b8,4,scorable_negotiation-L0-32200851b2,True,turn,3,Ember,2,10
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-31dd1a6e18,1,scorable_negotiation-L0-32200851b2,True,turn,1,Blake,3,3
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-31dd1a6e18,1,scorable_negotiation-L0-32200851b2,True,turn,2,Blake,3,7
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-31dd1a6e18,1,scorable_negotiation-L0-32200851b2,True,turn,3,Blake,3,11
0.0,,0.0,,,propose,,accept,P6,scorable_negotiation-moves_chat-31dd1a6e18,1,scorable_negotiation-L0-32200851b2,True,turn,4,Blake,3,15
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-bf365b8ee9,3,scorable_negotiation-L0-32200851b2,True,turn,1,Devon,4,4
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-bf365b8ee9,3,scorable_negotiation-L0-32200851b2,True,turn,2,Devon,4,8
0.0,1.0,1.0,0.0,,propose,,propose,,scorable_negotiation-moves_chat-bf365b8ee9,3,scorable_negotiation-L0-32200851b2,True,turn,3,Devon,4,12
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-bf365b8ee9,3,scorable_negotiation-L0-32200851b2,True,turn,4,Devon,4,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-bf365b8ee9,3,scorable_negotiation-L0-32200851b2,True,final_proposal,5,Devon,4,20
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-a7ef2ccff7,0,scorable_negotiation-L0-34733a57e6,True,turn,1,Avery,0,0
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-a7ef2ccff7,0,scorable_negotiation-L0-34733a57e6,True,turn,2,Avery,0,9
0.0,,0.0,,,propose,,accept,P4,scorable_negotiation-moves_chat-a7ef2ccff7,0,scorable_negotiation-L0-34733a57e6,True,turn,3,Avery,0,13
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-a7ef2ccff7,0,scorable_negotiation-L0-34733a57e6,True,turn,4,Avery,0,17
1.0,,1.0,,,accept,P9,accept,P9,scorable_negotiation-moves_chat-a7ef2ccff7,0,scorable_negotiation-L0-34733a57e6,True,final_vote,5,Avery,0,21
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-89c99c5079,2,scorable_negotiation-L0-34733a57e6,True,turn,1,Casey,1,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-89c99c5079,2,scorable_negotiation-L0-34733a57e6,True,turn,2,Casey,1,5
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-89c99c5079,2,scorable_negotiation-L0-34733a57e6,True,turn,3,Casey,1,14
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e245c898e,4,scorable_negotiation-L0-34733a57e6,True,turn,1,Ember,2,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e245c898e,4,scorable_negotiation-L0-34733a57e6,True,turn,2,Ember,2,6
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e245c898e,4,scorable_negotiation-L0-34733a57e6,True,turn,3,Ember,2,10
0.0,,0.0,,,propose,,accept,P8,scorable_negotiation-moves_chat-0e245c898e,4,scorable_negotiation-L0-34733a57e6,True,turn,4,Ember,2,19
