argmax_correct,confidence,difficulty_tags,direction,direction_correct,flat_issue,instance_id,issue,option,round,seat,seed,strength
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,1,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,1,0,high
0.0,0.7,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,2,1,0,low
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,2,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,2,2,2,0,high
1.0,0.85,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,0,2,2,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,2,2,0,high
1.0,0.8,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,3,2,2,0,medium
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,2,0,low
0.0,0.7,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,2,2,0,low
0.0,0.6,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,2,2,0,low
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,3,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,3,0,high
0.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,2,3,0,medium
,0.8,[],favours,,True,scorable_negotiation-L0-32200851b2,1,2,2,3,0,medium
,0.75,[],opposes,,True,scorable_negotiation-L0-32200851b2,1,0,2,3,0,medium
,0.7,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,2,3,0,low
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,3,0,medium
,0.7,[],favours,,True,scorable_negotiation-L0-32200851b2,1,1,2,3,0,low
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,2,4,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,2,2,4,0,high
1.0,0.9,[],opposes,0.0,False,scorable_negotiation-L0-32200851b2,1,0,2,4,0,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,4,0,high
,0.75,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,2,4,0,low
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,4,0,medium
0.0,0.85,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,2,4,0,medium
1.0,0.8,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,4,0,medium
1.0,0.93,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,1,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,1,0,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,1,0,high
0.0,0.7,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,1,0,low
1.0,0.92,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,2,0,high
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,2,0,medium
1.0,0.92,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,2,3,2,0,high
1.0,0.82,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,0,3,2,0,medium
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,3,2,0,high
1.0,0.75,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,3,3,2,0,medium
0.0,0.75,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,2,0,medium
0.0,0.8,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,2,0,high
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,2,3,2,0,high
,0.6,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,3,3,0,medium
,0.5,[],favours,,True,scorable_negotiation-L0-32200851b2,1,2,3,3,0,low
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,3,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,3,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,3,0,high
0.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,3,3,0,medium
0.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,3,3,0,high
,0.65,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,3,4,0,low
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,4,0,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,4,0,high
1.0,0.9,[],opposes,0.0,False,scorable_negotiation-L0-32200851b2,1,0,3,4,0,high
1.0,0.92,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,3,4,0,high
1.0,0.95,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,2,3,4,0,high
0.0,0.7,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,4,0,low
0.0,0.75,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,4,0,medium
,0.5,[],favours,,True,scorable_negotiation-L0-32200851b2,0,3,3,4,0,low
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,4,1,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,4,1,0,high
0.0,0.8,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,4,1,0,medium
0.0,0.8,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,4,1,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,4,2,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,2,4,2,0,high
1.0,0.85,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,0,4,2,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,4,2,0,high
1.0,0.8,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,3,4,2,0,medium
1.0,0.7,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,4,2,0,low
0.0,0.75,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,4,2,0,medium
,0.65,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,4,3,0,low
,0.6,[],favours,,True,scorable_negotiation-L0-32200851b2,1,2,4,3,0,low
,0.7,[],opposes,,True,scorable_negotiation-L0-32200851b2,1,0,4,3,0,medium
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,4,3,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,4,3,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,4,3,0,high
0.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,4,3,0,medium
0.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,4,3,0,high
,0.6,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,4,4,0,low
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,4,4,0,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,4,4,0,high
0.0,0.8,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,4,4,0,medium
0.0,0.85,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,4,4,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,4,4,0,high
1.0,0.9,[],opposes,0.0,False,scorable_negotiation-L0-32200851b2,1,0,4,4,0,high
1.0,0.95,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,2,4,4,0,high
1.0,0.93,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,1,1,1,high
1.0,0.94,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,1,1,1,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,1,1,high
1.0,0.94,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,1,1,high
,0.35,[],favours,,True,scorable_negotiation-L0-32200851b2,0,3,2,1,1,low
1.0,0.88,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,3,1,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,3,1,high
0.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,2,3,1,medium
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,3,1,high
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,4,1,medium
1.0,0.93,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,4,1,high
1.0,0.95,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,2,2,4,1,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,2,4,1,high
,0.6,[],favours,,True,scorable_negotiation-L0-32200851b2,0,2,2,4,1,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,3,2,0,1,high
1.0,0.6,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,2,2,0,1,medium
1.0,0.94,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,0,1,high
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,0,1,medium
,0.3,[],favours,,True,scorable_negotiation-L0-32200851b2,1,3,2,0,1,low
1.0,0.93,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,1,1,high
1.0,0.88,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,1,1,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,1,1,high
0.0,0.85,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,1,1,medium
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,3,1,medium
1.0,0.93,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,3,1,high
0.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,3,3,1,medium
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,3,1,high
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,4,1,medium
1.0,0.88,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,4,1,high
1.0,0.92,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,2,3,4,1,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,3,4,1,high
1.0,0.85,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,3,3,4,1,high
1.0,0.4,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,4,1,low
0.0,0.85,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,3,4,1,medium
