argmax_correct,confidence,difficulty_tags,direction,direction_correct,flat_issue,instance_id,issue,option,round,seat,seed,strength
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,1,0,high
1.0,0.95,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,1,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,1,0,high
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,1,0,medium
0.0,0.7,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,0,2,1,0,low
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,2,3,2,1,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,2,2,0,high
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,2,2,2,0,high
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,2,0,medium
1.0,0.7,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,2,0,medium
0.0,0.7,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,2,2,0,low
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,3,0,high
1.0,0.95,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,3,0,high
0.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,2,3,0,high
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,3,0,medium
1.0,0.9,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,4,0,high
1.0,0.75,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,1,2,4,0,medium
0.0,0.6,[],favours,0.0,False,scorable_negotiation-L0-32200851b2,3,1,2,4,0,low
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,2,4,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,2,2,4,0,high
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,4,0,medium
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,1,0,high
1.0,0.95,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,1,0,high
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,1,0,high
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,1,0,medium
0.0,0.6,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,0,3,1,0,low
1.0,0.9,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,2,3,3,1,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,3,2,0,high
1.0,0.95,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,3,2,0,high
1.0,0.85,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,1,2,3,2,0,high
1.0,0.7,[],opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,0,3,2,0,medium
1.0,0.8,[],favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,2,0,medium
