argmax_correct,confidence,difficulty_tags,direction,direction_correct,flat_issue,instance_id,issue,option,round,seat,seed,strength
1.0,0.85,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,1,3,3,medium
1.0,0.88,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,1,3,3,high
1.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,1,3,3,high
1.0,0.92,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,1,4,3,high
1.0,0.92,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,1,4,3,high
1.0,0.9,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,3,1,4,3,high
1.0,0.7,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,1,4,3,low
1.0,0.9,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,3,1,0,3,high
1.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,1,0,3,medium
1.0,0.8,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,1,0,3,medium
1.0,0.9,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,3,3,high
1.0,0.65,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,3,3,medium
1.0,0.92,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,4,3,high
1.0,0.9,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,2,4,3,high
1.0,0.88,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,3,2,4,3,high
1.0,0.7,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,4,3,medium
1.0,0.93,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,3,2,0,3,high
0.0,0.8,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,1,2,0,3,medium
1.0,0.9,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,2,2,0,3,high
1.0,0.88,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,0,2,0,3,high
,0.6,"['easy', 'high-conflict']",favours,,True,scorable_negotiation-L0-32200851b2,1,1,2,0,3,medium
1.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,0,3,medium
0.0,0.35,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,0,2,0,3,low
1.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,2,0,3,medium
0.0,0.7,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,2,0,3,medium
0.0,0.6,"['easy', 'high-conflict']",favours,0.0,False,scorable_negotiation-L0-32200851b2,3,3,2,0,3,low
1.0,0.93,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,2,2,3,high
1.0,0.85,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,2,2,3,high
1.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,2,2,3,medium
0.0,0.6,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,2,2,3,medium
1.0,0.8,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,3,3,medium
1.0,0.85,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,3,3,high
1.0,0.93,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,3,3,high
0.0,0.85,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,3,3,3,high
1.0,0.92,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,4,3,high
1.0,0.92,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,1,3,3,4,3,high
1.0,0.92,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,3,4,3,high
1.0,0.7,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,4,3,low
1.0,0.95,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,3,3,0,3,high
0.0,0.8,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,1,3,0,3,medium
1.0,0.93,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,2,3,0,3,high
1.0,0.93,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,0,0,3,0,3,high
,0.75,"['easy', 'high-conflict']",favours,,True,scorable_negotiation-L0-32200851b2,1,1,3,0,3,low
1.0,0.8,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,0,3,medium
1.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,3,0,3,medium
0.0,0.75,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,3,0,3,medium
0.0,0.7,"['easy', 'high-conflict']",favours,0.0,False,scorable_negotiation-L0-32200851b2,3,3,3,0,3,low
1.0,0.8,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,3,2,3,medium
1.0,0.9,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,3,3,2,3,high
0.0,0.7,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,1,1,3,2,3,low
1.0,0.9,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,0,2,3,2,3,high
0.0,0.65,"['easy', 'high-conflict']",favours,0.0,False,scorable_negotiation-L0-32200851b2,0,3,3,2,3,low
1.0,0.92,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,2,1,4,3,3,high
1.0,0.9,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,0,4,3,3,high
1.0,0.93,"['easy', 'high-conflict']",opposes,1.0,False,scorable_negotiation-L0-32200851b2,3,3,4,3,3,high
0.0,0.85,"['easy', 'high-conflict']",favours,1.0,False,scorable_negotiation-L0-32200851b2,3,1,4,3,3,high
