advice_action_match,advice_deal_distance,advice_kind_match,advice_overridden_toward,advice_rank_taken,advised_kind,advised_offer_id,emitted_kind,emitted_offer_id,episode_id,focal_seat,instance_id,n_candidates_offered,parse_ok,phase,round,seat,seed,turn_idx
1.0,1.0,1.0,,2,ranked_candidates,,propose,,scorable_negotiation-moves_chat-5efa29acef,0,scorable_negotiation-L0-32200851b2,4,True,turn,1,Avery,0,0
1.0,2.0,1.0,,1,ranked_candidates,,propose,,scorable_negotiation-moves_chat-5efa29acef,0,scorable_negotiation-L0-32200851b2,4,True,turn,2,Avery,0,9
1.0,0.0,1.0,,0,ranked_candidates,,propose,,scorable_negotiation-moves_chat-5efa29acef,0,scorable_negotiation-L0-32200851b2,4,True,turn,3,Avery,0,13
1.0,,1.0,,0,ranked_candidates,,accept,P9,scorable_negotiation-moves_chat-5efa29acef,0,scorable_negotiation-L0-32200851b2,4,True,turn,4,Avery,0,17
1.0,0.0,1.0,,0,ranked_candidates,,propose,,scorable_negotiation-moves_chat-34616a263f,2,scorable_negotiation-L0-32200851b2,4,True,turn,1,Casey,1,1
0.0,,1.0,,,ranked_candidates,,accept,P4,scorable_negotiation-moves_chat-34616a263f,2,scorable_negotiation-L0-32200851b2,4,True,turn,2,Casey,1,5
0.0,3.0,1.0,8.0,,ranked_candidates,,propose,,scorable_negotiation-moves_chat-34616a263f,2,scorable_negotiation-L0-32200851b2,4,True,turn,3,Casey,1,14
1.0,,1.0,,3,ranked_candidates,,accept,P8,scorable_negotiation-moves_chat-34616a263f,2,scorable_negotiation-L0-32200851b2,4,True,turn,4,Casey,1,18
1.0,0.0,1.0,,0,ranked_candidates,,propose,,scorable_negotiation-moves_chat-7d383dc336,4,scorable_negotiation-L0-32200851b2,4,True,turn,1,Ember,2,2
1.0,0.0,1.0,,0,ranked_candidates,,propose,,scorable_negotiation-moves_chat-7d383dc336,4,scorable_negotiation-L0-32200851b2,4,True,turn,2,Ember,2,6
1.0,1.0,1.0,,2,ranked_candidates,,propose,,scorable_negotiation-moves_chat-7d383dc336,4,scorable_negotiation-L0-32200851b2,3,True,turn,3,Ember,2,10
